building,capacity,faculty,room
"B59","240","","R1000"
"B59","360","","R1001"
"B59","210","","R1002"
"B59","120","","R1003"
"B59","450","","R1004"
"B59","20","","R1005"
"B59","360","","R1006"
"B59","380","","R1007"
"B59","480","","R1008"
"B59","320","","R1009"
"B59","320","","R1010"
"B59","390","","R1011"
"B59","330","","R1012"
"B59","320","","R1013"
"B59","340","","R1014"
"B59","370","","R1015"
"B59","420","","R1016"
"B59","480","","R1017"
"B59","410","","R1018"
"B59","400","","R1019"
"B59","200","","R1020"
"B59","260","","R1021"
"B2","310","","R1000"
"B2","430","","R1001"
"B2","90","","R2002"
"B2","290","","R2003"
"B2","400","","R2004"
"B2","480","","R2005"
"B2","80","","R2006"
"B2","250","","R2007"
"B2","70","","R2008"
"B2","410","","R2009"
"B2","110","","R2010"
"B2","80","","R2011"
"B2","460","","R2012"
"B2","430","","R2013"
"B2","100","","R3014"
"B2","100","","R3015"
"B37","110","","R1000"
"B37","100","","R1001"
"B37","310","","R1002"
"B37","40","","R1003"
"B37","70","","R1004"
"B37","440","","R1005"
"B37","70","","R1006"
"B37","160","","R1007"
"B37","370","","R1008"
"B37","280","","R1009"
"B37","290","","R1010"
"B37","470","","R1011"
"B37","260","","R1012"
"B37","380","","R1013"
"B37","100","","R1014"
"B37","480","","R1015"
"B37","480","","R1016"
"B37","440","","R1017"
"B37","230","","R1018"
"B37","50","","R1019"
"B37","480","","R1020"
"B37","440","","R1021"
"B37","10","","R1022"
"B37","350","","R1023"
"B37","310","","R1024"
"B37","120","","R1025"
"B37","230","","R1026"
"B37","400","","R2027"
"B37","260","","R2028"
"B37","490","","R2029"
"B37","200","","R3030"
"B37","40","","R3031"
"B37","340","","R3032"
"B37","160","","R4033"
"B37","230","","R5034"
"B37","290","","R5035"
"B37","420","","R5036"
"B37","90","","R5037"
"B37","340","","R5038"
"B37","90","","R5039"
"B37","440","","R5040"
"B37","350","","R5041"
"B37","80","","R5042"
"B37","240","","R6043"
"B37","450","","R6044"
"B37","450","","R6045"
"B37","340","","R6046"
"B37","340","","R6047"
"B37","200","","R6048"
"B37","430","","R6049"
"B37","370","","R6050"
"B37","290","","R6051"
"B37","350","","R6052"
"B37","440","","R6053"
"B37","210","","R6054"
"B37","410","","R6055"
"B37","370","","R6056"
"B37","100","","R6057"
"B37","290","","R6058"
"B37","420","","R6059"
"B37","100","","R6060"
"B37","120","","R6061"
"B37","180","","R6062"
"B37","360","","R6063"
"B37","200","","R6064"
"B37","80","","R6065"
"B37","250","","R6066"
"B37","400","","R6067"
"B37","380","","R6068"
"B37","160","","R7069"
"B37","280","","R7070"
"B37","80","","R7071"
"B37","10","","R8072"
"B37","140","","R9073"
"B37","410","","R9074"
"B37","370","","R9075"
"B37","180","","R9076"
"B37","360","","R9077"
"B37","190","","R9078"
"B37","400","","R9079"
"B37","370","","R9080"
"B37","280","","R9081"
"B37","220","","R9082"
"B37","200","","R9083"
"B37","120","","R9084"
"B37","300","","R10085"
"B37","460","","R10086"
"B37","250","","R11087"
"B37","320","","R11088"
"B37","380","","R11089"
"B37","30","","R11090"
"B37","140","","R11091"
"B37","240","","R11092"
"B37","40","","R11093"
"B37","240","","R11094"
"B37","20","","R11095"
"B37","70","","R11096"
"B37","230","","R11097"
"B37","260","","R11098"
"B100","450","","R1000"
"B100","340","","R1001"
"B100","40","","R1002"
"B100","80","","R1003"
"B100","210","","R1004"
"B100","410","","R1005"
"B100","70","","R1006"
"B100","420","","R1007"
"B100","140","","R1008"
"B100","230","","R1009"
"B100","270","","R1010"
"B100","360","","R1011"
"B100","30","","R1012"
"B100","340","","R1013"
"B100","360","","R1014"
"B100","480","","R1015"
"B100","60","","R1016"
"B100","70","","R1017"
"B100","160","","R1018"
"B100","370","","R1019"
"B100","380","","R1020"
"B100","220","","R1021"
"B100","400","","R1022"
"B100","130","","R1023"
"B100","410","","R1024"
"B100","450","","R1025"
"B100","280","","R1026"
"B100","30","","R1027"
"B100","130","","R1028"
"B100","290","","R2029"
"B100","110","","R2030"
"B100","360","","R2031"
"B100","280","","R2032"
"B100","80","","R2033"
"B100","340","","R2034"
"B100","90","","R2035"
"B100","250","","R2036"
"B100","150","","R2037"
"B100","10","","R2038"
"B100","170","","R2039"
"B100","90","","R2040"
"B100","310","","R2041"
"B100","170","","R2042"
"B100","470","","R2043"
"B100","310","","R2044"
"B100","160","","R2045"
"B100","300","","R2046"
"B100","220","","R2047"
"B100","220","","R2048"
"B100","350","","R2049"
"B100","30","","R2050"
"B5","200","","R1000"
"B5","440","","R1001"
"B5","20","","R1002"
"B5","210","","R2003"
"B5","350","","R2004"
"B5","290","","R2005"
"B5","250","","R2006"
"B5","230","","R2007"
"B5","110","","R2008"
"B5","240","","R2009"
"B5","230","","R3010"
"B5","80","","R3011"
"B5","460","","R3012"
"B5","40","","R3013"
"B5","270","","R3014"
"B5","80","","R3015"
"B5","130","","R3016"
"B5","250","","R3017"
"B5","300","","R3018"
"B5","330","","R4019"
"B5","330","","R4020"
"B5","30","","R4021"
"B5","90","","R4022"
"B5","440","","R4023"
"B5","270","","R4024"
"B5","40","","R4025"
"B5","140","","R4026"
"B5","300","","R4027"
"B5","360","","R4028"
"B5","80","","R4029"
"B5","320","","R4030"
"B5","10","","R4031"
"B5","340","","R4032"
"B5","430","","R4033"
"B5","220","","R4034"
"B5","90","","R4035"
"B5","260","","R4036"
"B5","110","","R5037"
"B5","350","","R5038"
"B5","110","","R5039"
"B5","60","","R6040"
"B5","430","","R6041"
"B5","460","","R6042"
"B5","110","","R6043"
"B5","270","","R6044"
"B5","360","","R6045"
"B5","160","","R6046"
"B5","210","","R7047"
"B5","460","","R7048"
"B5","450","","R7049"
"B5","90","","R7050"
"B5","260","","R7051"
"B5","470","","R7052"
"B5","460","","R7053"
"B5","40","","R7054"
"B5","360","","R8055"
"B5","320","","R8056"
"B5","410","","R8057"
"B5","20","","R9058"
"B5","60","","R10059"
"B5","430","","R10060"
"B5","40","","R10061"
"B5","380","","R10062"
"B73","480","","R1000"
"B73","70","","R1001"
"B73","80","","R1002"
"B73","260","","R1003"
"B73","380","","R1004"
"B73","260","","R1005"
"B73","460","","R1006"
"B73","130","","R1007"
"B73","40","","R1008"
"B73","460","","R2009"
"B73","460","","R2010"
"B73","100","","R2011"
"B73","160","","R2012"
"B73","440","","R2013"
"B73","140","","R2014"
"B73","340","","R2015"
"B73","240","","R2016"
"B73","250","","R2017"
"B73","460","","R2018"
"B73","320","","R2019"
"B73","70","","R2020"
"B73","140","","R2021"
"B73","80","","R2022"
"B73","450","","R2023"
"B73","190","","R3024"
"B73","10","","R3025"
"B73","110","","R3026"
"B73","260","","R3027"
"B73","190","","R3028"
"B73","40","","R3029"
"B73","240","","R3030"
"B73","10","","R3031"
"B73","340","","R3032"
"B73","200","","R3033"
"B73","400","","R3034"
"B73","280","","R3035"
"B73","60","","R3036"
"B73","150","","R3037"
"B73","340","","R3038"
"B73","400","","R3039"
"B73","400","","R3040"
"B73","140","","R3041"
"B73","220","","R3042"
"B73","90","","R3043"
"B73","350","","R3044"
"B73","450","","R3045"
"B73","140","","R3046"
"B73","200","","R3047"
"B73","450","","R3048"
"B73","10","","R3049"
"B73","220","","R3050"
"B73","80","","R3051"
"B73","150","","R3052"
"B73","400","","R3053"
"B73","340","","R3054"
"B73","150","","R3055"
"B73","110","","R3056"
"B73","140","","R3057"
"B73","120","","R3058"
"B73","420","","R3059"
"B73","310","","R3060"
"B73","170","","R3061"
"B73","60","","R3062"
"B73","40","","R3063"
"B73","310","","R3064"
"B73","80","","R3065"
"B73","220","","R3066"
"B73","330","","R3067"
"B73","140","","R3068"
"B73","250","","R3069"
"B73","100","","R3070"
"B73","310","","R3071"
"B73","60","","R3072"
"B73","450","","R4073"
"B73","430","","R5074"
"B73","20","","R5075"
"B73","320","","R5076"
"B10","460","","R1000"
"B10","200","","R1001"
"B10","340","","R1002"
"B10","480","","R2003"
"B10","250","","R2004"
"B10","50","","R3005"
"B10","20","","R3006"
"B10","430","","R3007"
"B10","140","","R3008"
"B10","410","","R3009"
"B10","20","","R3010"
"B10","80","","R3011"
"B10","260","","R4012"
"B10","150","","R4013"
"B10","450","","R4014"
"B10","160","","R4015"
"B10","10","","R4016"
"B10","90","","R4017"
"B10","280","","R5018"
"B10","350","","R5019"
"B10","340","","R5020"
"B10","470","","R6021"
"B10","110","","R6022"
"B10","400","","R6023"
"B10","440","","R6024"
"B10","310","","R6025"
"B10","250","","R6026"
"B10","250","","R7027"
"B10","470","","R7028"
"B10","60","","R7029"
"B10","310","","R8030"
"B10","370","","R8031"
"B10","250","","R8032"
"B43","310","","R1000"
"B43","280","","R1001"
"B43","170","","R1002"
"B43","390","","R1003"
"B43","320","","R1004"
"B43","290","","R1005"
"B43","380","","R1006"
"B43","20","","R1007"
"B43","10","","R1008"
"B43","70","","R1009"
"B43","290","","R1010"
"B43","140","","R1011"
"B43","10","","R1012"
"B43","70","","R1013"
"B43","210","","R1014"
"B43","270","","R1015"
"B43","430","","R1016"
"B43","310","","R1017"
"B43","110","","R1018"
"B43","460","","R1019"
"B43","230","","R1020"
"B43","30","","R1021"
"B43","210","","R1022"
"B43","280","","R1023"
"B43","450","","R1024"
"B43","140","","R1025"
"B43","90","","R1026"
"B43","320","","R1027"
"B43","190","","R1028"
"B43","280","","R1029"
"B43","450","","R1030"
"B43","360","","R1031"
"B43","260","","R1032"
"B43","380","","R1033"
"B43","220","","R1034"
"B43","110","","R1035"
"B43","230","","R1036"
"B43","420","","R1037"
"B43","200","","R1038"
"B43","310","","R1039"
"B43","80","","R1040"
"B43","460","","R2041"
"B43","420","","R2042"
"B43","110","","R2043"
"B43","320","","R3044"
