Supervisor,Title,Supervisor (Names)
sab1m08,3D image analysis using stereopairs from helium ion and electron microscopes.,"Boden, Stuart"
eg,"A project related to privacy, financial markets, human-agent interaction, multi-agent systems, game theory, mechanism design, agent-based modelling, the smart grid or smart transportation","Gerding, Enrico"
ldig1y14,A real time collaborative dataset editing tool,
jy12g15,A smart AI for video-sharing websites (Car industry),"Yan, Jize"
chdg,Ab-initio and Finite element Simulation of TMDC thin film transistors,"De Groot, Kees"
dst1m17,Adaptation capabilities of evolved robots -- exploring the limits,"Tarapore, Danesh"
ac1n16,Adaptive Data Modelling,"Chapman, Age"
tr1y14,Adaptive optimisation of Bifacial Solar panel systems,"Rahman, Tasmiat"
eg,Agent-Based Community Energy Cooperatives,"Gerding, Enrico"
eg,Agent-Based Negotiation with Incomplete Preferences,"Gerding, Enrico"
gravell,Agile Software Game,"Gravell, Andrew ('Andy')"
sh2e19,AI for Cyberattack Detection: the Automotive Scenario,"Hu, Shiyan"
sh2e19,AI for Cyberattack Detection: the Cyber-Physical Power System Scenario,"Hu, Shiyan"
mlu1n08,AI in Education: Intelligent Tutoring Systems,"Leon Urrutia, Manuel"
ob1a12,Aiding malware analysis: The next steps in malware communication interception,"Bills, Oliver"
jz5c16,Algorithmic design for data cashing strategies in edge computing,"Zhang, Jie"
dst1m17,Algorithms for low-cost surface vehicles,"Tarapore, Danesh"
mb1a10,Analysing patent data,"Brede, Markus"
dem,Analysis Tools for Interactive Narratives,"Millard, David"
mb1a10,Analyzing bot networks,"Brede, Markus"
mct1d19,Anti-windup software development,"Turner, Matthew"
jy12g15,Applications of AI and Computer Vision to Assist in Smart Agriculture,"Yan, Jize"
jr1a06,Applications of threshold security schemes,"Rathke, Julian"
tjn1f15,Argumentation-based dialogue,"Norman, Tim"
ob1a12,Assessing the challenges in VM-based malware analysis,"Bills, Oliver"
mct1d19,Assessment of pilot-induced oscillations,"Turner, Matthew"
tsh2n14,Assurance for Autonomous Systems,"Hoang, Son"
jsh2,Attentional mechanisms using winner take all and iterative inhibition,"Hare, Jonathon"
gravell,Automated Assessment Tools,"Gravell, Andrew ('Andy')"
srg,Automated Image Whitecap Extraction,"Gunn, Steve"
mrdp1x07,Automated pH setting of buffer solutions,"de Planque, Maurits"
nrh,Automatic prescription medicine monitoring,"Harris, Nicholas"
jz5c16,Average case and smoothed analysis in mechanism design,"Zhang, Jie"
dcs1r12,Bio-electronics / Lab-on-a-chip,"Spencer, Daniel"
dcs1r12,Bio-electronics / Lab-on-a-chip AMR1,"Spencer, Daniel"
dcs1r12,Bio-electronics / Lab-on-a-chip AMR2,"Spencer, Daniel"
dcs1r12,Bio-electronics / Lab-on-a-chip Cytometry,"Spencer, Daniel"
dcs1r12,Bio-electronics / Lab-on-a-chip Imaging Cytometry,"Spencer, Daniel"
dcs1r12,Bio-electronics / Lab-on-a-chip: Point-of-care-testing,"Spencer, Daniel"
tomasz,Bit-serial dedicated processor for artificial neurons,"Kazmierski, Tomasz"
jy12g15,Block Chain and AI for finance trading,"Yan, Jize"
gk1e17,Blockchain and smart contracts in Databases,"Konstantinidis, George"
